"Name","Upfront cost (K$,M$,B$)","Operating cost (K$,M$,B$)","Effects (description of gameplay modifier)","Notes (misc brainstorm section)","isDefault (is part of default ability pack available)"
"Temporary HOV Lane","250K$","6K$/week","Improves carpool and bus speeds on a corridor while reducing regular car capacity.","Combos with carpool policies; can provoke driver backlash events.","TRUE"
"Transit Fare Integration Study","180K$","0K$/week","Unlocks better future fare policy offers and slightly improves transfer attractiveness.","Meta-progression inside a run; policy synergy seed.","TRUE"
"Bus Line Split","220K$","2K$/week","Splits an overlong bus line into two shorter lines; improves reliability but may add transfers.","Good with transfer discounts and frequent-grid policies.","FALSE"
"Bus Line Extension","650K$","10K$/week","Extends a bus line to new residential or job tiles.","Works best when demand survey has revealed underserved commute flows.","FALSE"
"Express Bus Overlay","900K$","18K$/week","Adds limited-stop express service on a high-demand corridor.","Needs enough density; strong with bus priority and park-and-ride.","FALSE"
"Night Bus Service","400K$","25K$/week","Adds late-night trips and reduces off-peak car dependence.","Synergizes with Night Shift Economy and entertainment events.","FALSE"
"Weekend Bus Frequency Boost","300K$","20K$/week","Improves weekend service, increasing non-commute transit share.","Good with festivals, shopping districts, and fare discounts.","FALSE"
"Electric Bus Purchase","850K$","9K$/week","Adds bus capacity with lower operating emissions and slightly lower fuel volatility exposure.","Pairs with electrification policy and smog events.","FALSE"
"Articulated Bus Purchase","900K$","16K$/week","Adds high capacity to a busy bus line without adding as many vehicles.","Works on trunk corridors; weaker on narrow streets.","FALSE"
"Bus Depot Expansion","8M$","45K$/week","Raises maximum bus fleet size and reduces maintenance penalties.","Strategic unlock for bus-heavy runs.","FALSE"
"Bus Driver Hiring Fair","250K$","35K$/week","Temporarily increases available operators and protects service from shortage events.","Can blunt strike or labor shortage events if paired with fair wage policies.","FALSE"
"Transit Operations Center","4M$","35K$/week","Improves delay recovery across bus and tram networks.","Reliability engine; pairs with real-time data policies.","FALSE"
"Dynamic Bus Dispatch","1.2M$","22K$/week","Shifts spare buses toward crowded lines each week.","Makes bus strategy more resilient to event spikes.","FALSE"
"Demand-Responsive Shuttle","700K$","20K$/week","Serves low-density areas with flexible routing; modestly reduces car trips where fixed transit is weak.","Good rural/suburban connector; can feed rail stations.","FALSE"
"Airport Express Bus","2M$","30K$/week","Improves transit access to airport or tourism node; reduces taxi and rental-car trips.","Strong during tourism, convention, and sports events.","FALSE"
"BRT Station Upgrade","3M$","20K$/week","Converts key bus stops into high-quality rapid transit stations.","Capital-heavy bus anchor; pairs with off-board payment.","FALSE"
"Off-Board Fare Payment","1.5M$","18K$/week","Speeds boarding on selected bus or tram lines.","Best with crowded corridors and proof-of-payment policy.","FALSE"
"All-Door Boarding Pilot","700K$","12K$/week","Reduces dwell time on one line with minor fare evasion risk.","Policy synergy with fare enforcement reform.","FALSE"
"Transit Lane Camera Enforcement","900K$","5K$/week","Protects bus lane speed by reducing illegal car use.","Combos with bus priority lanes and congestion charge.","FALSE"
"Bus Bulb Construction","250K$","2K$/week","Lets buses stop without merging; improves speed and pedestrian space but narrows traffic.","Good small upgrade for dense mixed-use streets.","FALSE"
"Tram Stop","2M$","8K$/week","Adds a tram stop; improves access but can slow the tram if overused.","Mid-tier capacity path between bus and subway.","FALSE"
"Tram Vehicle","4M$","40K$/week","Adds tram capacity to a line and attracts riders on dense corridors.","Pairs with transit-oriented development policies.","FALSE"
"Dedicated Tram Right-of-Way","9M$","45K$/week","Greatly improves tram speed while removing car capacity from a corridor.","High-impact anti-congestion move if alternatives are ready.","FALSE"
"Streetcar Loop Extension","20M$","120K$/week","Adds a central tram loop serving dense jobs and retail.","Tourism and downtown synergy; expensive operating commitment.","FALSE"
"Tram Signal Preemption","1.1M$","8K$/week","Improves tram reliability through intersections.","Similar to bus signal priority but better for rail runs.","FALSE"
"Tram Depot Upgrade","12M$","70K$/week","Raises tram fleet cap and reduces maintenance disruption events.","Strategic unlock for tram-focused drafts.","FALSE"
"Subway Station","50M$","500K$/week","Adds a subway station; massively improves high-density access near the station.","Core late-game urban transit investment.","FALSE"
"Subway Extension 1KM","100M$","700K$/week","Extends subway track by 1 km; unlocks new station placement and faster trips.","Mega-project; requires stable budget or subsidy policies.","FALSE"
"Subway Frequency Increase","15M$","900K$/week","Reduces wait time on an existing subway line and absorbs high demand.","Strong with dense residential and CBD growth.","FALSE"
"Subway Platform Screen Doors","25M$","120K$/week","Improves safety and reduces incident delays on subway lines.","Defensive upgrade against accident and protest events.","FALSE"
"Subway Automation Upgrade","250M$","600K$/week","Reduces long-term operating cost and improves frequency cap after a long implementation delay.","Rare transformational pick; high upfront pain.","FALSE"
"New Subway Yard","180M$","1.2M$/week","Raises subway fleet cap and resilience.","Only worth it for subway-centered strategies.","FALSE"
"Commuter Rail Station","35M$","250K$/week","Captures long-distance trips from outer residential areas.","Pairs with park-and-ride, regional fare integration, and WFH policies.","FALSE"
"Commuter Rail Trainset","18M$","300K$/week","Adds commuter rail capacity and reduces peak car inflow.","Strong during immigration boom and suburban growth.","FALSE"
"Commuter Rail Electrification Segment","80M$","400K$/week","Improves speed, emissions, and fuel shock resilience on a rail corridor.","Combos with green bond and electrification policies.","FALSE"
"Regional Rail Through-Running","300M$","1.5M$/week","Connects commuter lines through the core to reduce transfers and downtown terminal pressure.","Run-defining mega project with huge network effects.","FALSE"
"Ferry Terminal","22M$","180K$/week","Adds water crossing transit access where geography supports it.","Future river/water map hook; pairs with tourism.","FALSE"
"Ferry Vessel","12M$","220K$/week","Adds ferry capacity and reduces bridge or tunnel car pressure.","Weather-sensitive; strong with waterfront development.","FALSE"
"Bike Share Dock","300K$","10K$/week","Adds short-trip cycling access and improves first/last-mile transit reach.","Best near subway, commuter rail, and university districts.","FALSE"
"E-Bike Share Upgrade","900K$","25K$/week","Improves cycling range and hill tolerance across bike share docks.","Pairs with protected lanes and low-emission policies.","FALSE"
"Cargo Bike Delivery Hub","500K$","8K$/week","Reduces short freight van trips in dense commercial areas.","Synergy with curb pricing and delivery window policies.","FALSE"
"Protected Intersection","450K$","3K$/week","Improves bike and pedestrian safety at a major junction.","Makes bike investments more effective on dangerous corridors.","FALSE"
"Neighborhood Greenway","1.2M$","7K$/week","Creates a low-stress walking and biking corridor through local streets.","Pairs with school travel and traffic calming policies.","FALSE"
"Pedestrian Overpass","3M$","15K$/week","Improves walking access across highways or rail barriers without slowing cars.","Useful on hostile infrastructure maps; less urbanist than crossings.","FALSE"
"Pedestrian Underpass Renewal","2M$","20K$/week","Improves safety and access through an existing underpass.","Combos with ambassador team and lighting policies.","FALSE"
"Main Street Sidewalk Widening","2.5M$","18K$/week","Boosts walking and retail access but removes curb parking or a car lane.","Pairs with parking reform and plaza strategies.","FALSE"
"Accessible Curb Ramp Program","700K$","6K$/week","Improves walking access for all ages and abilities city-wide.","Reliable equity pick; increases support for transit policies.","FALSE"
"Safe Routes to Transit","1M$","8K$/week","Improves walk and bike access within a radius of chosen stations.","Excellent with rail stations and bus hubs.","FALSE"
"Traffic Calming Package","600K$","4K$/week","Reduces local shortcut driving and improves walking and biking safety.","Pairs with low-traffic neighborhood policies.","FALSE"
"Low-Traffic Neighborhood Trial","900K$","6K$/week","Blocks through traffic on local streets; reduces car convenience but improves active modes.","Can trigger backlash unless paired with outreach.","FALSE"
"Car Lane Addition","4M$","22K$/week","Reduces congestion on one road segment but increases car demand and downstream traffic.","Useful in emergency or car-friendly runs; risky long term.","FALSE"
"Intersection Turn Lane","1.1M$","7K$/week","Improves car throughput at one bottleneck but worsens crossing comfort.","Synergy with freight corridors; anti-synergy with walkability.","FALSE"
"Road Diet","1.5M$","5K$/week","Converts excess car lanes into safety, bus, or bike space; reduces crashes and car speed.","Good with safety policies and bus/bike abilities.","FALSE"
"Car Tunnel 1KM","250M$","1M$/week","Moves car traffic underground for 1 km; reduces surface congestion but induces demand.","Mega road option; may pair with surface pedestrianization.","FALSE"
"Bridge Widening","120M$","600K$/week","Improves crossing capacity but increases car dependency.","Future water maps; strong short-term relief, weak climate score.","FALSE"
"New Multimodal Bridge","350M$","900K$/week","Adds transit, bike, pedestrian, and car crossing capacity.","Expensive but flexible; event reward candidate.","FALSE"
"Freight Signal Priority","800K$","6K$/week","Improves truck reliability on industrial corridors without broadly helping commuters.","Pairs with delivery policies and port events.","FALSE"
"Urban Freight Consolidation Center","6M$","40K$/week","Reduces delivery vehicle trips into dense areas.","Works with cargo bike hubs and curb pricing.","FALSE"
"Parking Meter Expansion","500K$","-20K$/week","Reduces cruising for parking and generates weekly revenue.","Negative operating cost means net revenue; may anger drivers.","FALSE"
"Remove Minimum Parking Lot","200K$","0K$/week","Converts selected public parking area into developable or civic space; reduces car convenience.","Pairs with TOD and pedestrian plaza policies.","FALSE"
"Congestion Charge Gantries","12M$","-250K$/week","Charges vehicles entering a zone; reduces peak car trips and generates revenue.","Powerful with exemptions policy choices; politically risky.","FALSE"
"Downtown Toll Tunnel","80M$","-400K$/week","Adds tolled car capacity and revenue but may induce driving.","Car-compatible budget strategy.","FALSE"
"License Plate Camera Network","3M$","30K$/week","Enables enforcement abilities for bus lanes, tolls, and low-emission zones.","Infrastructure prerequisite for several policies.","FALSE"
"Smart Parking Guidance","1.8M$","12K$/week","Reduces cruising congestion near major destinations.","Pairs with event venues and parking pricing.","FALSE"
"Construction Coordination Office","700K$","18K$/week","Reduces congestion penalties from overlapping construction projects.","Defensive pick for capital-heavy runs.","FALSE"
"Fast-Track Permitting Team","500K$","25K$/week","Shortens build times for small mobility projects for 12 weeks.","Great before a burst of bike/bus improvements.","FALSE"
"Public Consultation Roadshow","250K$","10K$/week","Reduces backlash risk from disruptive projects in one district.","Pairs with road diets, LTN trials, and congestion charges.","FALSE"
"Transit-Oriented Zoning Hearing","300K$","0K$/week","Improves chance that future policy choices include density near transit.","Bridge between abilities and permanent policy draft.","FALSE"
"Federal Grant Application","150K$","0K$/week","Chance to receive a large one-time capital grant in several weeks.","High variance; affected by federal government events.","FALSE"
"Green Bond Issuance","400K$","35K$/week","Provides immediate capital for low-emission projects with a long operating repayment.","Enables big plays early at budget risk.","FALSE"
"Advisor Recruitment Fair","500K$","20K$/week","Adds an advisor slot or improves future ability draft variety.","Directly supports run variety.","FALSE"
"Data Science Hiring Sprint","650K$","30K$/week","Improves demand forecasts and reveals stronger ability synergies in choices.","Good for players who want less randomness.","FALSE"
"Open Mobility Data Portal","350K$","8K$/week","Slightly improves public support and unlocks civic-tech event options.","Pairs with transparency policies.","FALSE"
"Transit App Partnership","250K$","12K$/week","Improves wayfinding and multimodal trip planning city-wide.","Great with complex networks and fare integration.","FALSE"
"Integrated Wayfinding Signs","900K$","15K$/week","Improves transfers between bus, tram, subway, rail, bike share, and walking.","Network glue for mixed-mode runs.","FALSE"
"Mobility Wallet Pilot","1M$","35K$/week","Gives targeted residents credits for transit, bike share, and car share instead of car trips.","Pairs with equity fares and parking cash-out policies.","FALSE"
"Low-Income Fare Pass","800K$","60K$/week","Increases transit access and ridership among price-sensitive residents.","Powerful with subsidies; budget pressure tradeoff.","FALSE"
"Student U-Pass Expansion","600K$","45K$/week","Boosts transit use around schools and universities.","Strong with night bus and bike share.","FALSE"
"Senior Shuttle Program","500K$","28K$/week","Improves accessibility for older residents in low-density areas.","Equity option; can soften service cut backlash.","FALSE"
"Paratransit Dispatch Upgrade","1.5M$","40K$/week","Improves specialized transit reliability and public approval.","Pairs with accessible curb ramp program.","FALSE"
"Transit Safety Lighting","700K$","12K$/week","Improves perceived safety at stops, paths, and underpasses.","Good with night service and ambassador team.","FALSE"
"Station Cleaning Surge","350K$","25K$/week","Temporarily improves transit attractiveness and reduces disorder events.","Useful when ridership is slipping from perception issues.","FALSE"
"Anti-Smoking Station Campaign","100K$","6K$/week","Small perceived safety and comfort gain at stations.","Niche but cheap draft filler.","FALSE"
"Fare Evasion Amnesty Week","80K$","10K$/week","Improves public trust and may increase future pass adoption, with short-term fare loss.","Pairs with low-income fare policy.","FALSE"
"Targeted Fare Inspection","300K$","20K$/week","Recovers revenue and deters evasion but can reduce approval if overused.","Tradeoff option with proof-of-payment systems.","FALSE"
"Maintenance Overtime","250K$","50K$/week","Temporarily reduces breakdown risk across transit fleets.","Defensive response to aging fleet or storm events.","FALSE"
"Spare Parts Stockpile","1M$","15K$/week","Reduces duration of vehicle breakdown and supply chain events.","Pairs with import inflation and trade dispute events.","FALSE"
"Snow Route Prep","400K$","8K$/week","Reduces snow event penalties for buses, bikes, and walking.","Weather defense.","FALSE"
"Heat-Resilient Track Work","5M$","20K$/week","Reduces heat wave delay risk for rail and tram systems.","Climate adaptation investment.","FALSE"
"Flood Barrier for Station","4M$","12K$/week","Protects one vulnerable subway, tram, or rail station from flood events.","Map-specific defensive pick.","FALSE"
"Emergency Bus Bridge Plan","300K$","10K$/week","Improves response options during subway, tram, or rail closures.","Good insurance for rail-heavy runs.","FALSE"
"Special Event Transit Plan","250K$","18K$/week","Prepares extra service and street management for venues for 4 weeks.","Strong before sports, concert, festival, Olympics.","FALSE"
"VIP Motorcade Detour Plan","120K$","4K$/week","Reduces disruption from VIP visits and security closures.","Niche event counter; can be randomly valuable.","FALSE"
"Protest Liaison Team","150K$","8K$/week","Reduces duration and harm from protest-related street closures.","Pairs with transparent consultation policies.","FALSE"
"Tourism Shuttle","600K$","24K$/week","Reduces car and taxi trips around hotel and attraction districts.","Good during festival and cruise ship events.","FALSE"
"Industrial Shift Shuttle","700K$","30K$/week","Serves off-peak factory and port workers; reduces isolated car commutes.","Synergy with Night Shift Economy and freight policies.","FALSE"
"Car Share Pod","250K$","6K$/week","Reduces private car ownership pressure while keeping occasional car access.","Pairs with parking reform and mobility wallet.","FALSE"
"Vanpool Program","300K$","15K$/week","Reduces car trips from low-density residential areas to major employers.","Good alternative when rail expansion is unaffordable.","FALSE"
"Telework Outreach Campaign","120K$","5K$/week","Temporarily reduces commute demand for office workers.","Synergizes with Work From Home Act.","FALSE"
"Staggered School Bell Pilot","80K$","2K$/week","Shifts school traffic away from peak commute.","Pairs with Night Shift Economy and school travel plans.","FALSE"
"Downtown Delivery Windows","200K$","5K$/week","Moves freight trips out of peak commuter periods.","Pairs with cargo bike hubs and curb pricing.","FALSE"
"Taxi Stand Reorganization","180K$","3K$/week","Reduces curb chaos around stations and nightlife districts.","Small event-district congestion tool.","FALSE"
"Ridehail Geofence","300K$","4K$/week","Moves ridehail pickup points away from clogged curbs; reduces local congestion.","Works with event venues and transit hubs.","FALSE"
"University Move-In Plan","160K$","10K$/week","Reduces seasonal congestion around campuses and improves student transit adoption.","Event counter and U-Pass synergy.","FALSE"
"Hospital Access Shuttle","900K$","32K$/week","Improves shift-worker access to hospitals and reduces emergency-area parking pressure.","Strong equity and night shift synergy.","FALSE"
"Climate Communication Campaign","90K$","4K$/week","Increases support for low-emission transport choices for 8 weeks.","Combos with green policies and smog events.","FALSE"
