"Name","Effects","Synergies","Risks","Acquisition notes","Notes"
"Rainy Day Transit Fund","Stores a portion of surplus budget and protects against recession shocks.","Budget Windfall; Recession; Preventive Maintenance Lockbox","Less immediate spending power.","Budget windfall event reward.","Stabilizer policy."
"Countercyclical Infrastructure","During recession, capital projects cost less and approval from job creation rises.","Recession; Green Bond Authority; Construction Coordination Office","Can encourage overbuilding with weak operating budget.","Recession event reward.","Makes downturns strategically interesting."
"Preventive Maintenance Lockbox","Earmarks revenue for road and transit maintenance, reducing breakdown and pothole events.","Pothole Repair Blitz; Maintenance Overtime; Spare Parts Stockpile","Less flexible budget.","Pothole season reward.","Anti-crisis policy."
"Fleet Renewal Mandate","Aging buses and trains are replaced before reliability penalties grow.","Electric Bus Purchase; Spare Parts Stockpile; Maintenance Overtime","Higher capital draw over time.","Breakdown event reward.","Maintenance-heavy, stable strategy."
"Operator Training Academy","Improves hiring pipeline and reduces operator shortage duration.","Bus Driver Hiring Fair; Night Bus Service; Tram Vehicle","Upfront benefits arrive slowly.","Operator shortage reward.","Labor resilience policy."
"Labor Peace Accord","Reduces strike risk but increases transit operating costs.","Transit Strike Vote; Extra Transit Subsidy; Bus Driver Hiring Fair","Budget pressure during recession.","Strike event negotiation outcome.","Keeps service strategies reliable."
"Transparent Procurement","Reduces corruption and megaproject cost overruns.","Open Mobility Data Portal; Federal Grant Application; Subway Extension 1KM","Can slow urgent contracts.","Corruption investigation reward.","Mega-project support policy."
"Public Performance Dashboard","Improves approval when reliability is good; reveals poor performance more sharply.","Open Mobility Data Portal; Data Science Hiring Sprint; Transit Operations Center","Bad networks get punished publicly.","Newspaper or data event reward.","Makes quality measurable."
"Evidence-Based Planning","Advisor recommendations better match observed demand.","Neighborhood Mobility Survey; Data Science Hiring Sprint; Demand-Responsive Shuttle","May reduce wild-card offers.","Research partnership reward.","Draft consistency tool."
"Advisor Diversity Mandate","Increases variety of future ability offers across modes.","Advisor Recruitment Fair; Neighborhood Mobility Survey; Federal Grant Application","Less chance to tunnel on one strategy.","Draft policy.","Direct answer to run variety."
"Shovel-Ready Project Bank","Improves chance of receiving and using grants quickly.","Federal Grant Application; Transit-Oriented Zoning Hearing; Construction Coordination Office","Requires planning spending before grants arrive.","Federal win or draft policy.","Rewards preparation."
"Matching Grant Office","Increases federal and provincial grant success for transit capital.","Federal Transit-Friendly Win; Subway Station; Commuter Rail Station","Weak during anti-transit governments.","Political event reward.","External funding engine."
"Local Funding Autonomy","Reduces dependence on higher governments and unlocks local taxes or fees.","Congestion Charge; Green Bond Authority; Road Usage Charge","Local voters blame you directly for costs.","Anti-transit federal event reward.","Independence policy."
"Political Capital Reserve","Stores unused approval to spend on controversial future policies.","Public Consultation Roadshow; Congestion Charge; Road Diet","Can tempt delay when action is needed.","Mayor approval surge reward.","Helps timing windows."
"Community Benefit Agreement","Reduces backlash from large projects in affected neighborhoods.","Subway Station; Dedicated Tram Right-of-Way; Low-Traffic Neighborhood Trial","Adds cost to projects.","Protest event reward.","Equity plus politics."
"Complete Streets Ordinance","Road projects must include safety, walking, biking, or transit improvements.","Road Diet; Protected Bike Lane; Bus Bulb Construction","Pure car capacity becomes harder to build.","Court or safety event reward.","Makes road work multimodal."
"Complete Streets Funding Rule","External road funds can be converted into multimodal corridors.","Provincial Highway Promise; Bus Priority Lane; Protected Bike Lane","May reduce total grant amount.","Highway event reward.","Turns car offers into flexible offers."
"Vision Zero","Reduces crash events and increases support for traffic calming and protected bike projects.","Speed Limit Reduction; Protected Intersection; Road Diet","Car speeds and some throughput decline.","Safety protest or accident reward.","Safety archetype."
"Safe School Streets","Improves school travel plans and reduces school peak car trips city-wide.","School Travel Plan; Crosswalk Upgrade; Traffic Calming Package","Parent backlash if access changes are abrupt.","Draft policy.","Localized but reliable congestion relief."
"Universal Mobility Standard","Accessibility upgrades produce larger approval and ridership benefits.","Accessible Curb Ramp Program; Paratransit Dispatch Upgrade; Senior Shuttle Program","Raises cost of stations and streetscape projects.","Aging population event reward.","Equity anchor."
"Equity Fare Cap","Limits fare burden for low-income riders and improves transit adoption.","Low-Income Fare Pass; Mobility Wallet Pilot; Extra Transit Subsidy","Requires subsidy funding.","Draft policy.","Strong with social resilience."
"Rider Bill of Rights","Delay compensation improves trust but penalizes poor reliability financially.","Transit Operations Center; Maintenance Overtime; Public Performance Dashboard","Expensive during disruption streaks.","Viral delay event reward.","High standard policy."
"Proof-of-Payment Reform","Makes all-door boarding and off-board payment more effective with less trust loss.","All-Door Boarding Pilot; Off-Board Fare Payment; Targeted Fare Inspection","Needs fair enforcement choices.","Fare events or draft policy.","Speeds surface transit."
"Fare Integration","Transfers across modes are cheaper and more attractive.","Transit Fare Integration Study; Integrated Wayfinding Signs; Regional Rail Through-Running","May reduce fare revenue without subsidy.","Draft or study unlock.","Network glue policy."
"Regional Fare Compact","Commuter rail, bus, and city transit share fares and passes.","Commuter Rail Station; Park-and-Ride Lot; Fare Integration","Negotiation delays with neighboring agencies.","Commuter rail event reward.","Suburban transit strategy."
"Visitor Transit Pass","Tourists receive simple transit passes; reduces taxi and rental-car trips.","Airport Express Bus; Tourism Shuttle; Convention Week","Lower value outside tourism maps.","Convention or cruise event reward.","Event and tourism synergy."
"Campus Mobility Compact","Universities fund U-Pass, bike share, and move-in traffic plans.","Student U-Pass Expansion; Bike Share Dock; Night Bus Service","Budget help depends on campus presence.","Student surge reward.","Campus archetype."
"Employer TDM Mandate","Large employers must reduce drive-alone commuting.","Employer Transit Pass Pilot; Vanpool Program; Work From Home Act","Business opposition if transit is weak.","Tech campus event reward.","Job-district demand management."
"Hospital Shift Mobility","Hospitals coordinate passes, shuttles, and staggered shifts.","Hospital Access Shuttle; Night Shift Economy; Senior Shuttle Program","Narrow unless hospitals are major trip generators.","Hospital campus event reward.","Off-peak equity tool."
"Freight Priority Compact","Coordinates freight routes and delivery timing to reduce peak conflicts.","Freight Signal Priority; Downtown Delivery Windows; Urban Freight Consolidation Center","Can prioritize freight over neighborhood comfort.","Factory or port event reward.","Industrial strategy."
"Port Mobility Compact","Port operators co-fund worker shuttles and freight improvements.","Industrial Shift Shuttle; Commuter Rail Station; Freight Signal Priority","Waterfront-specific.","Port expansion event reward.","Public-private industrial support."
"Downtown Delivery Windows","Moves commercial deliveries out of peak commute hours.","Cargo Bike Delivery Hub; Curb Pricing Pilot; Freight Priority Compact","Merchants may resist inconvenient hours.","Draft or freight event.","Cheap congestion reducer."
"Ridehail Curb Fee","Charges ridehail pickups in crowded zones and funds transit operations.","Ridehail Geofence; Curb Pricing Pilot; Event Parking Levy","Can increase illegal stopping without enforcement.","Ridehail price war reward.","Modern curb policy."
"Open Streets Program","Regular car-free street days increase walking, biking, and public support.","Pop-Up Pedestrian Plaza; Car-Free Day Proposal; Main Street Sidewalk Widening","Backlash if transit access is poor.","Car-free day event reward.","Culture-shift policy."
"Low-Traffic Neighborhood Framework","Makes LTN trials cheaper and less backlash-prone.","Low-Traffic Neighborhood Trial; Traffic Calming Package; Community Benefit Agreement","Can shift traffic to boundary roads.","Draft or protest negotiation.","Neighborhood-scale active mode build."
"Transit-Oriented Development","New density near transit produces more riders and less car growth.","Transit-Oriented Zoning Hearing; Subway Station; Tram Stop","Can increase crowding if service lags.","Draft policy.","Long-term ridership engine."
"Inclusionary TOD","Transit-oriented growth includes affordable housing, increasing equitable ridership.","Transit-Oriented Development; Low-Income Fare Pass; Commuter Rail Station","Higher developer resistance.","High-rise rezoning wave reward.","Equity land-use synergy."
"Mixed-Use Retrofit","Car-oriented retail areas can redevelop into walkable centers.","Mall Redevelopment; Parking Minimum Repeal; Bus Line Extension","Slow payoff.","Mall event reward.","Suburban transformation policy."
"Brownfield TOD","Closed industrial sites near transit can become housing or mixed-use districts.","Factory Closure; Transit-Oriented Zoning Hearing; Commuter Rail Station","Cleanup costs may spike.","Factory closure reward.","Turns losses into opportunity."
"Shade Streets","Walking and biking penalties from heat are reduced.","Main Street Sidewalk Widening; Neighborhood Greenway; Heat Wave","Capital improvements compete with mobility projects.","Heat wave reward.","Climate adaptation for active modes."
"Winter Cycling Maintenance","Bike lanes and sidewalks retain more usefulness during snow.","Protected Bike Lane; Snow Route Prep; Neighborhood Greenway","Operating cost rises in winter.","Snow event reward.","Makes cycling viable in harsh maps."
"Public Data Rights","Tech pilots must share useful data with the city.","Autonomous Shuttle Vendor Pitch; Open Mobility Data Portal; Data Science Hiring Sprint","Vendors may walk away.","Tech event reward.","Keeps pilots from being pure flavor."
"Olympic Mobility Authority","Temporary authority speeds event transit projects and street management.","Special Event Transit Plan; Subway Frequency Increase; Tourism Shuttle","Can overspend on one-time capacity.","Olympics bid reward.","Boss-event policy."
"Emergency Street Powers","During disasters, temporary bus lanes, car bans, and detours can be enacted quickly.","Heavy Snowstorm; Flash Flood; VIP Motorcade Detour Plan","Approval loss if used casually.","Crisis event reward.","High-agency emergency tool."
"Service Guarantee","Raises minimum service on core routes; improves ridership trust.","Extra Transit Subsidy; Transit Operations Center; Bus Depot Expansion","High operating cost during recession.","Draft policy.","Stable network archetype."
"Frequent Grid Standard","Bus lines with enough demand receive reliable all-day frequency bonuses.","Bus Line Split; Add Standard Bus; Bus Priority Lane","Weak in low-density maps without feeders.","Draft policy.","Turns bus network into a system."
"Mobility Wallet","Residents can spend credits on transit, bike share, car share, or shuttles.","Mobility Wallet Pilot; Low-Income Fare Pass; Car Share Pod","Administrative complexity and cost.","Draft or pilot unlock.","Flexible anti-car-ownership tool."
